# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = survival_model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 10
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = ../data/data_dump/survival_info.data.R
# init = 2 (Default)
# random
#   seed = 420
# output
#   file = ../data/mcmc_out/surv_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha,intercept,group.1,group.2,group.3,group.4,group.5,group.6,group.7,group.8,group.9,group.10,group.11,group.12,group.13,group.14,group.15,group.16,group.17,group.18,group.19,group.20,group.21,group.22,group.23,group.24,group.25,group.26,group.27,group.28,group.29,group.30,group.31,group.32,group.33,group.34,group.35,group.36,group.37,group.38,group.39,group.40,group.41,group.42,group.43,group.44,group.45,group.46,group.47,group.48,group.49,group.50,group.51,group.52,group.53,group.54,group.55,group.56,group.57,group.58,group.59,group.60,group.61,group.62,group.63,group.64,group.65,group.66,sigma_group,cohort.1,cohort.2,cohort.3,cohort.4,cohort.5,cohort.6,cohort.7,cohort.8,cohort.9,cohort.10,cohort.11,cohort.12,cohort.13,cohort.14,cohort.15,cohort.16,cohort.17,cohort.18,cohort.19,cohort.20,cohort.21,cohort.22,cohort.23,cohort.24,cohort.25,cohort.26,cohort.27,cohort.28,cohort.29,cohort.30,cohort.31,cohort.32,cohort.33,cohort.34,cohort.35,cohort.36,cohort.37,cohort.38,cohort.39,cohort.40,cohort.41,cohort.42,cohort.43,cohort.44,cohort.45,cohort.46,cohort.47,cohort.48,cohort.49,cohort.50,cohort.51,cohort.52,cohort.53,cohort.54,cohort.55,cohort.56,cohort.57,cohort.58,cohort.59,cohort.60,cohort.61,cohort.62,cohort.63,cohort.64,cohort.65,cohort.66,cohort.67,cohort.68,cohort.69,cohort.70,cohort.71,cohort.72,cohort.73,cohort.74,cohort.75,cohort.76,cohort.77,cohort_mu.1,cohort_mu.2,cohort_mu.3,cohort_mu.4,cohort_mu.5,cohort_mu.6,sigma_cohort,sigma_regime
# Adaptation terminated
# Step size = 0.0577012
# Diagonal elements of inverse mass matrix:
# 2.8912e-05, 0.0148469, 0.108698, 0.0141882, 0.235362, 0.00759434, 0.0136957, 0.00752869, 0.0301116, 0.151097, 0.0273882, 0.139405, 0.0072886, 0.139571, 0.00941219, 0.0379785, 0.0665588, 0.0131763, 0.00857259, 0.125376, 0.00898212, 0.110247, 0.00988375, 0.0795239, 0.297641, 0.277056, 0.00736348, 0.0163386, 0.0116132, 0.285392, 0.0686489, 0.0108767, 0.0954823, 0.0343346, 0.0737093, 0.158665, 0.0286376, 0.125095, 0.0103038, 0.215492, 0.0335756, 0.110659, 0.0176081, 0.00962117, 0.00838791, 0.318224, 0.26848, 0.0718861, 0.0765137, 0.0216343, 0.0256473, 0.042897, 0.212343, 0.316962, 0.0139798, 0.0848147, 0.00746204, 0.0318156, 0.0328567, 0.0464311, 0.00904401, 0.0172237, 0.00842352, 0.0716678, 0.0381711, 0.0388234, 0.126643, 0.00847271, 0.0120502, 0.0314025, 0.0112213, 0.0180193, 0.015228, 0.0130295, 0.0250711, 0.0168193, 0.017189, 0.0122881, 0.0111561, 0.0110274, 0.0114442, 0.0117749, 0.0107194, 0.0161148, 0.0200163, 0.0101333, 0.0105757, 0.0138767, 0.0187922, 0.0124011, 0.0109639, 0.0101786, 0.0106872, 0.0135702, 0.0145981, 0.0133606, 0.0177268, 0.012911, 0.0136146, 0.0112178, 0.0115311, 0.0118314, 0.0126676, 0.0186165, 0.0122543, 0.0126022, 0.0139573, 0.0149022, 0.0262686, 0.0120307, 0.0105104, 0.0122159, 0.0105939, 0.0118971, 0.0156285, 0.0326278, 0.0125481, 0.0146524, 0.0131479, 0.0131212, 0.011249, 0.0114076, 0.0120644, 0.0125146, 0.0159507, 0.0186117, 0.0131881, 0.012795, 0.0146472, 0.0104696, 0.010531, 0.0115245, 0.0347566, 0.0101075, 0.00994402, 0.0108329, 0.00993293, 0.0172241, 0.0162081, 0.0162093, 0.0138975, 0.011813, 0.0161549, 0.0151606, 0.0171122, 0.00936581, 0.00905076, 0.00763959, 0.00961778, 0.00841731, 0.00988293, 0.0158029, 0.00758624, 0.873392

-43681.6,0.991704,0.0577012,6,63,0,1.00578,-1.24665,0.217316,-0.304062,0.406656,-0.41154,0.0695013,-0.867578,0.969924,-0.00510703,-0.598745,1.56773,0.596236,-0.154935,-0.424167,-0.192945,0.178765,-0.292503,0.377638,0.388045,-0.393366,1.2017,-0.415782,0.668348,0.696496,0.618124,-0.702189,0.708604,-0.61062,0.374658,-0.310662,-0.150365,0.908687,-0.992083,-0.991401,-1.08515,-0.51992,-0.917683,-0.22098,-0.342277,0.472284,0.302648,0.034304,-0.00850919,-0.574069,0.248119,0.381125,0.603009,1.0246,-0.695936,-0.107098,1.25177,-0.0436731,1.80459,0.422152,0.959579,0.00918977,-0.0855576,-1.03277,-0.622931,-0.541074,-0.218515,-0.0552214,0.135294,0.111428,-0.439875,0.66275,0.56927,0.673453,1.41455,1.72172,1.38674,1.21769,1.03828,1.03486,0.34843,0.466932,0.474651,0.380237,0.550201,0.318353,0.271333,-0.025241,-0.202034,0.00956821,-0.072853,0.348292,0.0555455,0.124539,0.188746,0.159792,-0.0245713,-0.0146227,-0.152882,-0.217164,-0.248285,-0.221677,0.213239,-0.0127773,-0.229802,-0.133039,-0.306845,-0.16163,-0.288389,-0.21824,0.0622786,-0.044279,-0.180563,-1.12628,0.278258,-0.269045,-0.140459,-0.038416,0.148776,0.0919032,-1.38599,0.415088,0.526794,0.522466,0.368019,0.321232,-0.041016,-0.288558,-0.414469,-0.547877,-0.340925,-0.418277,-0.471836,-0.288692,-0.298777,-0.153141,-0.077841,-1.33778,0.327277,0.268874,0.161289,-0.128912,-0.0753393,0.193012,-0.147108,-0.22073,-0.319919,-0.779361,-0.557607,-0.788726,-0.19143,0.0564291,-0.00878496,-0.0335735,0.0254055,-0.0565098,0.00795453,0.646874,0.0452169
-43674.7,0.648406,0.0577012,6,63,0,1.00896,-1.14559,0.533672,-0.204155,0.338603,-0.379619,0.123093,-0.841928,1.18254,-1.08723,-0.376735,0.652313,0.55282,-0.139553,-0.418115,-0.873763,0.111296,-0.270107,0.2979,0.191417,-0.409683,0.891672,-0.316898,0.589158,1.10773,-0.628228,-0.742325,0.698623,-0.537033,0.801511,-0.0505539,-0.240421,0.754745,-0.574246,-0.423187,0.0802371,-0.750974,-0.342749,-0.180984,-0.130752,0.677405,-0.439965,-0.0517383,0.117743,-0.462069,0.283721,0.109785,0.79687,0.644108,-0.626963,-0.201848,1.02469,0.0081469,0.152693,0.267628,0.894809,0.0617811,0.227931,-0.998978,-0.700489,-0.629941,-0.0993978,-0.0070346,0.415907,0.014705,0.00145697,1.21482,0.583065,0.468758,1.29666,1.71496,1.21041,0.931524,0.891409,0.627933,0.324452,0.321095,0.344506,0.375163,0.404872,0.373463,0.0669778,-0.146308,-0.197634,-0.255979,-0.239556,0.290109,0.0218584,-0.0951465,0.0503278,-0.165046,-0.0861026,-0.164928,-0.206956,-0.323887,-0.422723,-0.0875124,0.0511151,-0.014423,-0.235107,-0.187482,-0.436327,-0.292272,-0.421663,-0.334769,-0.215768,-0.127353,-0.448104,-1.1676,0.119732,-0.40839,-0.0788272,-0.188029,0.0971155,-0.0966214,-1.42711,0.303783,0.462673,0.42829,-0.0103372,0.188156,-0.195544,-0.280963,-0.401651,-0.605236,-0.19194,-0.509317,-0.408733,-0.231979,-0.344434,-0.354843,-0.118374,-1.69103,0.158225,0.0744106,-0.0305612,-0.151879,-0.163823,0.0762869,-0.234919,-0.448772,-0.455529,-0.946215,-0.665417,-1.09292,-0.299311,-0.0672529,0.00451047,-0.0382845,-0.0844722,-0.169889,-0.120323,0.547878,0.0798042
-43687.4,0.993748,0.0577012,6,63,0,1.00725,-1.16654,0.550815,-0.062436,-0.160742,-0.398266,-0.0254553,-0.841763,0.968692,0.514714,-0.800132,1.06211,0.538422,-0.451468,-0.505154,-0.394761,0.332182,-0.320518,0.249418,0.375001,-0.438382,0.610703,-0.573371,0.979024,-1.17953,-0.0541936,-0.746451,0.4466,-0.713156,0.228257,-0.28907,-0.22989,0.803991,-0.654738,-0.171859,-0.242425,-0.855262,-0.164709,-0.314796,0.645779,0.98347,0.655651,0.0879784,0.0297726,-0.541038,-0.0600115,-0.0637867,0.190302,0.956998,-0.538444,-0.207702,0.809935,0.331569,0.663094,0.319387,0.653745,0.0360344,-0.250007,-1.09464,-0.483225,-0.609718,-0.3568,-0.118455,-0.545349,0.00927018,-0.170147,0.493163,0.600024,0.619206,1.45326,1.66311,1.56413,1.21403,0.917783,1.09369,0.326381,0.294928,0.539443,0.358237,0.450504,0.418865,0.283512,-0.0445282,-0.188227,-0.0698007,-0.0806794,0.281882,0.100327,0.216909,0.0278777,-0.0717835,-0.0633212,-0.0924068,-0.213484,-0.307174,-0.285309,-0.126154,0.142782,-0.0344985,-0.212449,-0.10381,-0.277885,-0.265166,-0.470566,-0.209065,-0.0872109,-0.247538,-0.28892,-1.10411,0.00020666,-0.341103,-0.173557,-0.180261,0.079269,0.00107348,-1.29801,0.192337,0.588803,0.463175,0.227745,0.377034,-0.053759,-0.146246,-0.336335,-0.47306,-0.11753,-0.424846,-0.398759,-0.178916,-0.411484,-0.194981,0.0366941,-1.69602,0.296109,0.235157,0.068597,-0.197923,-0.0910804,0.0596457,-0.0924355,-0.322455,-0.301246,-0.930023,-0.606793,-1.02764,-0.205377,-0.0060555,0.0708864,0.165167,0.155976,0.230624,0.155918,0.55651,0.202607
-43665.4,0.942026,0.0577012,6,63,0,1.00057,-1.17186,0.0569175,-0.290485,0.466815,-0.510291,0.0536771,-0.909904,0.898814,-0.0526223,-0.697459,0.746027,0.504229,-0.221653,-0.55712,-0.861158,0.173144,-0.336899,0.248278,-0.0851066,-0.450992,0.606816,-0.468731,0.918838,1.77017,1.87701,-0.81228,0.662487,-0.591926,1.70165,-0.471434,-0.230703,1.19403,-0.585741,-0.170011,-0.358476,-0.898035,-0.338418,-0.393077,0.200112,0.313197,0.205367,-0.018279,-0.0017691,-0.686336,0.556584,-0.15194,0.151037,0.565634,-0.532174,-0.226112,0.446617,0.585811,0.922145,0.274831,0.435404,-0.0485477,-0.00290457,-1.05423,-0.968032,-0.642772,-0.18514,-0.118929,0.501362,-0.439223,-0.218076,0.90869,0.542636,0.657718,1.54649,1.90688,1.51386,1.18894,1.00033,1.07407,0.450387,0.470361,0.430429,0.425956,0.464847,0.418194,0.30162,0.129246,-0.221876,-0.327124,-0.0405749,0.458069,0.209525,0.217582,0.114981,0.149158,0.0323104,-0.138282,-0.17653,-0.165745,-0.240864,0.00936924,0.222465,0.0725993,-0.132179,-0.133467,-0.281532,-0.239719,-0.467934,-0.0771397,0.0105161,-0.0768348,-0.265301,-1.00912,0.176339,-0.23589,-0.035931,-0.0676488,0.256325,-0.00637284,-1.25954,0.398966,0.476466,0.412712,0.28496,0.301804,0.137713,-0.191369,-0.352974,-0.596063,-0.12833,-0.243518,-0.398,-0.0860012,-0.351216,-0.137378,-0.0565065,-1.49102,0.325846,0.308955,0.122505,-0.0782174,0.0109038,0.284773,-0.0381266,-0.288581,-0.307785,-0.843595,-0.469495,-0.876149,-0.203253,-0.0064615,0.00300837,0.0199223,-0.00869001,-0.0125565,-0.0167721,0.519767,0.0131702
-43649.7,0.956866,0.0577012,6,63,0,0.994883,-1.18504,0.390686,-0.0613377,1.16462,-0.337996,0.269235,-0.79418,1.03038,-0.149317,-0.320155,0.834998,0.640767,0.21526,-0.336221,-0.490693,0.616293,-0.307061,0.297003,-0.152741,-0.286144,0.709956,-0.334113,0.699706,-0.0579995,-0.0411438,-0.725493,0.580416,-0.513455,-0.115699,-0.0420567,-0.0575062,1.28154,-0.546911,-0.387682,-0.705672,-0.745133,-1.03714,-0.209199,-0.181256,0.716641,0.509787,0.153687,0.13903,-0.444604,0.45428,0.863407,0.290731,0.627015,-0.683365,-0.0723949,0.860749,1.07312,0.216603,0.331925,0.636425,0.0502237,-0.0146011,-0.850318,-0.537864,-0.590963,-0.114746,-0.0245669,0.443167,0.0552591,0.153645,1.01565,0.546506,0.503657,1.5147,1.66253,1.26733,1.06099,0.927183,0.9664,0.210652,0.43792,0.374917,0.36007,0.443337,0.364201,0.320905,-0.0648415,-0.168935,-0.0279927,-0.203234,0.295268,-0.0206306,0.156119,-0.0504868,0.0449145,-0.0693244,-0.153411,-0.278712,-0.281976,-0.443508,-0.183214,0.063934,0.00450094,-0.252145,-0.0666426,-0.321724,-0.236445,-0.398776,-0.286551,-0.190537,-0.161252,-0.365426,-0.925073,0.149648,-0.319069,-0.13615,-0.178406,0.119116,-0.0596423,-1.45221,0.287304,0.346903,0.336546,0.1201,0.303841,-0.0997378,-0.258703,-0.413932,-0.778402,-0.0566954,-0.434002,-0.397853,-0.330182,-0.291992,-0.167994,-0.0978576,-1.59892,0.2634,0.145382,0.0318945,-0.147273,-0.137392,0.0811703,-0.180614,-0.389203,-0.306586,-0.776706,-0.618487,-0.999414,-0.213147,-0.0163907,0.0415636,-0.0219255,-0.0317244,0.00433062,0.0166531,0.524971,0.0394988
